名称,路径,类型,年份,体积(字节)
品职教育 2023.5CFA二级Equity知识框架图.pdf,/CFA2026/C2思维导图/2023 CFA二级 框架图/品职教育 2023.5CFA二级Equity知识框架图.pdf,文件,2026,1297740
品职教育CFA二级知识框架图 Alternative 李斯克 2023.05.pdf,/CFA2026/C2思维导图/2023 CFA二级 框架图/品职教育CFA二级知识框架图 Alternative 李斯克 2023.05.pdf,文件,2026,1250709
CFA二级核心考点_另类.pdf,/CFA2026/C2思维导图/L2-精讲另类-Sylvia/CFA二级核心考点_另类.pdf,文件,2026,640946
cfa二级(持续更新),/CFA2026/C2思维导图/cfa二级(持续更新),文件夹,2026,
CFA 2024 Level II - Schweser Quicksheet.pdf,/CFA2026/CFA 2024 Level II - Schweser Quicksheet.pdf,文件,2026,4388238
CFA 2024 Level II - SchweserNotes Book 1Quantitative Methods and Economics.pdf,/CFA2026/CFA 2024 Level II - SchweserNotes Book 1Quantitative Methods and Economics.pdf,文件,2026,3856161
CFA 2024 Level II - SchweserNotes Book 2 Financial Statement Analysis and Corporate Issuers.pdf,/CFA2026/CFA 2024 Level II - SchweserNotes Book 2 Financial Statement Analysis and Corporate Issuers.pdf,文件,2026,3934526
CFA 2024 Level II - SchweserNotes Book 3Equity Valuation.pdf,/CFA2026/CFA 2024 Level II - SchweserNotes Book 3Equity Valuation.pdf,文件,2026,4424631
"CFA 2024 Level II - SchweserNotes Book 4Fixed Income, Derivatives, and Alternative Investments.pdf","/CFA2026/CFA 2024 Level II - SchweserNotes Book 4Fixed Income, Derivatives, and Alternative Investments.pdf",文件,2026,4192915
CFA 2024 Level II - SchweserNotes Book 5Portfolio Management and Ethical and Professional Standards.pdf,/CFA2026/CFA 2024 Level II - SchweserNotes Book 5Portfolio Management and Ethical and Professional Standards.pdf,文件,2026,2800613
CFA二级JC,/CFA2026/CFA二级JC,文件夹,2026,
1.CFA二级前导_Part_I_标准版.pdf,/CFA2026/CFA二级JC/1.前导段沿用(基础班会重讲可不听)/1.前导 Part I/0.讲义/1.CFA二级前导_Part_I_标准版.pdf,文件,2026,2059613
2.CFA二级前导_Part_I_打印版.pdf,/CFA2026/CFA二级JC/1.前导段沿用(基础班会重讲可不听)/1.前导 Part I/0.讲义/2.CFA二级前导_Part_I_打印版.pdf,文件,2026,1139133
1.CFA二级前导_Part_II_标准版.pdf,/CFA2026/CFA二级JC/1.前导段沿用(基础班会重讲可不听)/2.前导 Part Ⅱ/0.讲义/1.CFA二级前导_Part_II_标准版.pdf,文件,2026,1167827
